CS_COMPANY_ID|*|BUSINESS_NAME|*|COMPANY_REGISTRATION_NUMBER|*|FINANCIAL_YEAR|*|NUMBER_OF_WEEKS|*|CURRENCY|*|CONSOLIDATED_ACCOUNTS|*|REVENUE|*|OPERATING_COSTS|*|OPERATING_PROFIT|*|WAGES_AND_SALARIES|*|PENSION_COSTS|*|DEPRECIATION|*|AMORTISATION|*|FINANCIAL_INCOME|*|FINANCIAL_EXPENSES|*|EXTRAORDINARY_INCOME|*|EXTRAORDINARY_COSTS|*|PROFIT_BEFORE_TAX|*|TAX|*|PROFIT_AFTER_TAX|*|DIVIDENDS|*|MINORITY_INTERESTS|*|OTHER_APPROPRIATIONS|*|RETAINED_PROFIT
NL00489967|*|RH Materiaalbeheer B.V.|*|09153003|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00489970|*|Verticaal Transport Nederland B.V.|*|09153006|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00496060|*|Rolflex Nederland B.V.|*|09159505|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00496520|*|2Mates Beheer B.V.|*|09159983|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00500154|*|Fortuna Favet Fortibus Holding B.V.|*|09163736|*|31-12-2018|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00501232|*|Oost Architecten en Adviseurs B.V.|*|09165017|*|31-12-2018|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00501293|*|Kompas Veiligheidsgroep B.V.|*|09165090|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00502148|*|Probroed B.V.|*|09165971|*|30-06-2023|*|52|*|EUR|*|N|*|100485126|*|98624748|*|1860378|*|8911337|*||*|876995|*||*||*||*|0|*|0|*|2002463|*|502917|*|1499546|*||*||*||*|1499546
NL00502605|*|AMRU Holding B.V.|*|09166468|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00507515|*|Leloux et son Epoux B.V.|*|09171849|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00512323|*|Van der Eerden Holding B.V.|*|09176901|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00512324|*|GWW-Ingenieurs B.V.|*|09176902|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00515185|*|United Driveline Systems B.V.|*|09179841|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00521327|*|W. Mulders Beheer B.V.|*|09186186|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00522157|*|Daminka B.V.|*|09187050|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00522631|*|JDI B.V.|*|09187545|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00524694|*|Sloots Management Consultancy B.V.|*|09189723|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00528323|*|Ramo Holding B.V.|*|09193493|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00530238|*|Delfini Beheer B.V.|*|09195493|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00530241|*|H.A. Wijnhoven Beheer B.V.|*|09195496|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00533534|*|Gilde Groep B.V.|*|09198954|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00533607|*|De Kort Nijmegen B.V.|*|09199027|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL06159199|*|Techonomy Holding B.V.|*|09204741|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00543872|*|Zorgplan B.V.|*|09209700|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00547303|*|F. de Wolf Holding B.V.|*|09213237|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00552460|*|Ten Brinke Slot Projectontwikkeling B.V.|*|09218599|*|31-03-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00555513|*|E.G.H. Driessen Management B.V.|*|09221755|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00557028|*|Beleggingsmaatschappij Verheijen B.V.|*|10011803|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00557524|*|Nogeb B.V.|*|10017454|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00557813|*|Franssen Boven-Leeuwen Beheer B.V.|*|10019449|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00558319|*|Van Zandvoort Management B.V.|*|10022386|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00558375|*|Virance Beheer B.V.|*|10022683|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00559215|*|StartDock Herengracht B.V.|*|10026040|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00559566|*|Lems Legal Consultancy B.V.|*|10027337|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00561131|*|B.V. DecoMachines.com|*|10032253|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00562230|*|Slamo B.V.|*|10035416|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00562332|*|Rene Franssen Dekstation en Handelsstal B.V.|*|10035648|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00562809|*|Pensioenmaatschappij Joan B.V.|*|10036871|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
